id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.affiliation[-],dc.contributor.author,dc.contributor.author[-],dc.contributor.author[],dc.contributor.author[fr],dc.contributor.author[none],dc.date.issued,dc.date.issued[-],dc.date.issued[],dc.date.issued[en_US],dc.date.issued[fr],dc.date.issued[fr_FR],dc.date.issued[none],dc.description.abstract[en],dc.description.abstract[en_US],dc.description.abstract[fr],dc.description.abstract[fr_FR],dc.description[-],dc.description[en],dc.description[en_US],dc.description[fr],dc.description[fr_FR],dc.format.extent,dc.format.extent[],dc.format.mimetype,dc.format.mimetype[],dc.identifier.citation[-],dc.identifier.citation[],dc.identifier.citation[en],dc.identifier.citation[fr],dc.identifier.citation[none],dc.identifier.doi,dc.identifier.doi[],dc.identifier.issn,dc.identifier.issn[-],dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[-],dc.language.iso[],dc.language.iso[en],dc.language.iso[en_US],dc.language.iso[fr],dc.language.iso[fr_FR],dc.publisher[],dc.publisher[en],dc.publisher[en_US],dc.publisher[fr],dc.publisher[fr_FR],dc.relation.ispartof[-],dc.relation.ispartof[],dc.relation.ispartof[en],dc.relation.ispartof[en_US],dc.relation.ispartof[fr],dc.relation.ispartofseries,dc.relation.ispartofseries[-],dc.relation.ispartofseries[],dc.rights,dc.rights[-],dc.rights[],dc.source,dc.source[-],dc.source[],dc.source[en_US],dc.source[fr],dc.source[fr_FR],dc.source[none],dc.subject.other[fr],dc.subject[],dc.subject[en],dc.subject[fr],dc.title.alternative[en],dc.title[en],dc.title[en_US],dc.title[fr],dc.title[fr_FR],dc.type[-],dc.type[],dc.type[en],dc.type[en_US],dc.type[fr],dc.type[fr_FR]
43080,2042/46965,La Météorologie,,"Météo-France, Centre météorologique interrégional Centre-Est, Aéroport de Bron, 69500 Bron, FRA",,"Givone, Christiane",,,,,,,1997,,,,"This paper outlines how Météo-France has controlled and distributed climate data since the end of 1995. The system assures consistency between the data-bases handled by the three levels (CDM, Cmir, Scem), quality controls the data, and makes them available as soon as possible. Manual operations are kept to a minimum but human expertise remains the most important part of quality control at CDM and Cmir levels.",,"Cet article présente le schéma de circulation et de contrôle des données climatologiques qui est opérationnel depuis la fin 1995 à Météo-France. Ce schéma assure la cohérence entre les bases de données des trois échelons (départemental [Cdm], interrégional [Cmir] et national [Scem]) qui peuvent ainsi disposer au plus tôt des mêmes données critiquées et validées. il évite au maximum les interventions manuelles, mais l'expertise humaine reste prépondérante pour la validation des données, qui est effectuée au niveau départemental et au niveau interrégional.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47031,,2107-0830,,,,http://hdl.handle.net/2042/47031,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 31-40",,,,,,climatologie||réseau de mesures||réseau climatologique||contrôle des données météo||estimation par intervalle||analyse statistique||analyse qualitative,Distribution and quality control of climatological data at Météo-France,,,Circulation et contrôle des données climatologiques à Météo-France,,,,,Article,,
43081,2042/46965,La Météorologie,,"Centre national de la recherche scientifique, Groupement de recherche «Climat et Santé», Faculté de médecine, 7, boulevard Jeanne-d'Arc, 21033 Dijon, FRA",,"Laaidi, Karine||Laaidi, Mohamed||Besancenot, Jean-Pierre",,,,,,,1997,,,,"Many patients complain of an increase in severity allergic symptoms during or immediately after some weather conditions. This paper aims to compare pollinic, meteorological and clinical data to test this point through an analysis of the recent literature. The first part presents the characteristics, advantages and disadvantages of the main instruments used for the collection of airborne pollen. Next pollen counts are compared with meteorological data before and during the event to test for trends and correlations. This, potentially, provides a basis for models predicting both pollen concentration in the air and the beginning of the pollen season. The health hazards (conjunctivitis, rhinitis, or asthma) which the pollen content of the atmosphere may cause to allergic people are investigated in the last part. The significance of some other environmental factors, such as air pollution in relation to allergies, is also briefly discussed.",,"De nombreux malades se plaignent d'une accentuation de leurs symptômes allergiques lors de certaines conditions météorologiques, ou immédiatement après. En s'appuyant sur la littérature récente, cet article vise à confronter données polliniques, données météorologiques et données cliniques pour confirmer ou infirmer cette impression. Une première partie présente les caractéristiques, avantages et inconvénients des principaux appareils utilisés pour la collecte des grains de pollen aéroportés. La partie suivante est consacrée à la comparaison des comptes polliniques et des données météorologiques concomitantes ou antécédentes, pour en tirer tendances et corrélations susceptibles d'être utilisées dans des modèles de prévision du contenu pollinique de l'air ou des dates initiales de pollinisation. La dernière partie porte sur les risques (conjonctivite, rhinite et asthme) que les pollens peuvent constituer pour la santé des sujets allergiques. L'influence sur le processus allergénique d'autres paramètres de l'environnement, comme la pollution atmosphérique, fait également l'objet d'une brève discussion.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47032,,2107-0830,,,,http://hdl.handle.net/2042/47032,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 41-56",,,,,,impact||santé||pollinisation||vent||prévision||pollution atmosphérique||conditions atmosphériques||transport de polluant à longue distance,"Pollen, hay fever and meteorology",,,"Pollens, pollinoses et météorologie",,,,,Article,,
43082,2042/46965,La Météorologie,,,,"Bohren, Craig F.",,,,,,,1997,,,,"Craig F. Bohren uses the phenomenon of the green flash to introduce gradually the basics of light refraction, scattering, selective scattering, coherent scattering and incoherent scattering.",,"Craig F. Bohren se sert ici du phénomène atmosphérique du rayon vert pour introduire pas à pas les notions de réfraction, de diffusion, de diffusion sélective, de diffusion cohérente et de diffusion incohérente de la lumière.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47033,,2107-0830,,,,http://hdl.handle.net/2042/47033,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 57-60",,,,,,rayon vert||réfraction - optique||diffusion - optique||absorption - optique||atmosphère||Pacifique||crépuscule||ciel clair,The green flash,,,Le rayon vert,,,,,Article,,
43083,2042/46965,La Météorologie,,"Météo-France, 1, quai Branly, 75340 Paris, FRA",,"Marbouty, Dominique",,,,,,,1997,,,,"Resolution 40, which was adopted by the World Meteorological Organisation (WMO) in 1995, foresees that meteorological data and products exchanged under the auspices of WMO would be freely provided to the non-commercial research and education activities. This paper presents the stakes of the present debate on this subject and the European position.",,"La résolution 40, adoptée par l'Organisation météorologique mondiale(OMM) en 1995, a affirmé le principe de la fourniture gratuite des données et des produits météorologiques échangés sous les auspices de l'OMM pour les activités de recherche et d'enseignement non commerciales. Ce dossier présente les enjeux du débat actuel sur ce sujet et la position européenne en la matière.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47034,,2107-0830,,,,http://hdl.handle.net/2042/47034,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 61-69",,,,,,données météorologiques||politique||Europe||recherche scientifique||enseignement,Free supply of meteorological data for research and education; the European position,,,La fourniture gratuite des données météorologiques pour la recherche et l'enseignement : la position européenne,,,,,Article,,
43084,2042/46965,La Météorologie,,,,"Bessemoulin, Pierre",,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47035,,2107-0830,,,,http://hdl.handle.net/2042/47035,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 70",,,,,,température virtuelle||radiosondage||sondage acoustique,,,,"Commentaire sur « Les sondages radioacoustiques de l'atmosphère » de G. Dubosclard, T. Ouazzani Touhami, J. Fournet-Fayard et Y. B. Pointin - La Météorologie 8e série, n° 18, juin 1997, 34-48.",,,,,Article,,
43085,2042/46965,La Météorologie,,,,"Dubosclard, George||Ouazzani Touhami, Tayeb||Fournet-Fayard, Jacques||Pointin, Yves B.",,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47036,,2107-0830,,,,http://hdl.handle.net/2042/47036,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 71-72",,,,,,température virtuelle||radiosondage||sondage acoustique||son,,,,Réponse à Pierre Bessemoulin,,,,,Article,,
43086,2042/46965,La Météorologie,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47037,,2107-0830,,,,http://hdl.handle.net/2042/47037,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série 8, N° 20 ; p. 73-123",,,,,,,,,,Autres rubriques,,,,,Article,,
49972,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Annonces, La Météorologie, 1997, N° 20 ; p. 73-76",,,2107-0830,,,,http://hdl.handle.net/2042/54487,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Annonces,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 73-76",,,,,,,,Annonces,,,,,Article,,
49973,2042/46965,La Météorologie,,,,,,,"Renaut, Didier",,,,,,,1997,,,,,,,,,,,,,,,,,,"Renaut, Didier ; Echos, La Météorologie, 1997, N° 20 ; p. 77-82",https://doi.org/10.4267/2042/54488,,2107-0830,,,http://hdl.handle.net/2042/54488,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Echos,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 77-82",,,,,,,,Echos,,,,,Article,,
49974,2042/46965,La Météorologie,,,,,,,"Imbard, Maurice",,,,,,,1997,,,,,,,,,,,,,,,,,,"Imbard, Maurice ; La machine océan, La Météorologie, 1997, N° 20 ; p. 83-84",https://doi.org/10.4267/2042/54489,,2107-0830,,,http://hdl.handle.net/2042/54489,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Lu pour vous,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 83-84",,,,,,,,La machine océan,,,,,Article,,
49975,2042/46965,La Météorologie,,,,,,,"Javelle, Jean-Pierre",,,,1997,,,2014,,,,,,,,,,,,,,,,,,"Ouvrages, La Météorologie, 1997, N° 20 ; p. 85",,https://doi.org/10.4267/2042/54490,2107-0830,,,,http://hdl.handle.net/2042/54490,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Vient de paraître,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, N° 20 ; p. 85",,,,,,,Ouvrages,,,,,,,,
49976,2042/46965,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1997,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; Configurations nuageuses particulières, La Météorologie, 1997, N° 20 ; p. 87-87",https://doi.org/10.4267/2042/54491,,2107-0830,,,http://hdl.handle.net/2042/54491,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 87-87",,,,,,,,Configurations nuageuses particulières,,,,,Article,,
49977,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Juin 1997, La Météorologie, 1997, N° 20 ; p. 88-94",https://doi.org/10.4267/2042/54492,,2107-0830,,,http://hdl.handle.net/2042/54492,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Résumé climatique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 88-94",,,,,,,,Juin 1997,,,,,Article,,
49978,2042/46965,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1997,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; Littoral visible et équateur balisé, La Météorologie, 1997, N° 20 ; p. 95-95",https://doi.org/10.4267/2042/54493,,2107-0830,,,http://hdl.handle.net/2042/54493,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 95-95",,,,,,,,Littoral visible et équateur balisé,,,,,Article,,
49979,2042/46965,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1997,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; Perturbation boréale et bandes australes, La Météorologie, 1997, N° 20 ; p. 96-96",https://doi.org/10.4267/2042/54494,,2107-0830,,,http://hdl.handle.net/2042/54494,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 96-96",,,,,,,,Perturbation boréale et bandes australes,,,,,Article,,
49980,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Juillet 1997, La Météorologie, 1997, N° 20 ; p. 97-103",https://doi.org/10.4267/2042/54495,,2107-0830,,,http://hdl.handle.net/2042/54495,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Résumé climatique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 97-103",,,,,,,,Juillet 1997,,,,,Article,,
49981,2042/46965,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1997,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; Le typhon winnie, La Météorologie, 1997, N° 20 ; p. 104-105",https://doi.org/10.4267/2042/54496,,2107-0830,,,,http://hdl.handle.net/2042/54496,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 104-105",,,,,,,,Le typhon Winnie,,,,,Article,,
49982,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Aout 1997, La Météorologie, 1997, N° 20 ; p. 106-111",https://doi.org/10.4267/2042/54497,,2107-0830,,,http://hdl.handle.net/2042/54497,,,,,fr,,,,,,Association Météo et Climat,,,,,Rubrique : Résumé climatique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 106-111",,,,,,,,Aout 1997,,,,,Article,,
49983,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Table analytique, La Météorologie, 1997, N° 20 ; p. 112-119",,,2107-0830,,,,http://hdl.handle.net/2042/54498,,,,fr,,,,,,Association Météo et Climat,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 112-119",,,,,,,,Table analytique,,,,,Article,,
49984,2042/46965,La Météorologie,,,,,,,,,,,,,,1997,,,,,,,,,,,,,,,,,,"Index des auteurs, La Météorologie, 1997, N° 20 ; p. 120-121",,,2107-0830,,,,http://hdl.handle.net/2042/54499,,,,fr,,,,,,Association Météo et Climat,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1997, Série , N° 20 ; p. 120-121",,,,,,,,Index des auteurs,,,,,Article,,
65098,2042/46966,,La Météorologie,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/70653,2107-0830,,,http://hdl.handle.net/2042/70653,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 85-88",,,,,,,,,,Encart en couleurs,,,,,,Article,,,
43087,2042/46966,La Météorologie,,,,,,,,,,,1998,,,,,,,,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47038,,2107-0830,,,,http://hdl.handle.net/2042/47038,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 1-12",,,,,,,,,,"Sommaire, Editorial, La vie de la SMF",,,,,Article,,
43088,2042/46966,La Météorologie,,"Laboratoire des sciences du climat et de l'environnement (anciennement Centre des faibles radioactivités), Domaine du CNRS, Avenue de la Terrasse, 91198 Gif-sur-Yvette, FRA",,"Cortijo, Elsa",,,,,,,1998,,,,"The slow variations of the terrestrial climate, on time scales of some tens of thousands of years, are essentially due to regular changes in the Earth's orbital parameters. Recently, some studies on ice cores have shown that climatic changes can occur abruptly, on time scales of centuries or even decades. The rapid climatic variations found in the ice are also recorded in the marine sediment. The detailed study of marine sediment shows that massive discharges of icebergs occurred several times during the last glacial period between 60 000 and 10 000 years ago. As a result, the North Atlantic underwent huge hydrological changes during this period, with decreases in temperature and salinity of its surface waters. The 1 to 3 °C temperature variations in the North Atlantic Ocean and 5 to 8 °C temperature variations in the Greenland atmosphere represent huge climatic changes over the Northern hemisphere.",,"Les variations lentes du climat de notre planète, à l'échelle de quelques dizaines de milliers d'années, sont essentiellement dues aux changements réguliers des paramètres de l'orbite de la Terre autour du Soleil. Or, des études récentes effectuées sur des carottes de glace ont montré que certains changements climatiques pouvaient se produire de manière brutale, en quelques centaines voire en quelques dizaines d'années seulement. Les variations climatiques rapides enregistrées dans les glaces au cours des 60 000 dernières années apparaissent aussi dans les sédiments marins. L'étude détaillée des carottes de sédiments marins a ainsi permis de montrer que des épisodes de débâcles massives d'icebergs ont eu lieu au cours de la dernière période glaciaire, entre - 60 000 et - 10 000 ans, entraînant une baisse de la température et de la salinité de l'eau dans l'Atlantique nord, ainsi qu'un ralentissement de la circulation océanique. Ces variations de température ? de 1 à 3 °C dans l'océan Atlantique nord en surface et de 5 à 8 °C dans les masses d'air au-dessus du Groenland ? représentent des changements climatiques considérables dans l'hémisphère nord.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47039,,2107-0830,,,,http://hdl.handle.net/2042/47039,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 13-29",,,,,,climatologie océanographique||paléoclimatologie||variation du climat||carotte glaciaire||iceberg||perturbations de l'orbite terrestre||température de l'eau||salinité de l'eau||interaction océan-atmosphère||isotopes de O||champ magnétique||circulation générale océanique||interaction d'ondes||Groëland,Rapid changes in the climate of the North Atlantic Ocean during the last 60 000 years.,,,Les variations rapides du climat dans l'océan Atlantique Nord au cours des 60 000 dernières années,,,,,Article,,
43089,2042/46966,La Météorologie,,"Université Denis-Diderot (Paris VII) et UMR 183 du CNRS, 2, place Jussieu, 75251 Paris, FRA",,"Beltrando, Gérard",,,,,,,1998,,,,"Night air temperatures recorded at 20 automatic stations in the wine-growing region of Champagne, for Spring 1994 and 1995, are evaluated with respect to the geographical location (plane, hill slope, etc.) and types of weather and air circulation. Radiation phenomenon are identified essentially through the presence of temperature inversions, most marked at those sites lying in hollows. At other sites, knowledge of local air movements is critical because the direction of cold air flow close to the surface can vary considerably from one station to another. Superficial cold air can stagnate at the bottom of slopes or may drain from of the wine-producing zone. Under these conditions, differences of 2 to 4 °C between neighbouring slopes are frequent and difficult to predict; this can lead to serious local losses.",,"Les températures nocturnes de l'air sous abri enregistrées dans vingt stations automatiques du vignoble de Champagne sont analysées pour les printemps 1994 et 1995. Les résultats obtenus sont commentés en tenant compte de la position géographique (plaine, bas de coteau, etc.) et des informations disponibles sur les types de temps et de circulation. Les situations radiatives se manifestent surtout par la présence d'inversions thermiques très nettes dans les sites les plus encaissés. Pour les autres stations du vignoble, la connaissance de la circulation de l'air à l'échelle locale est primordiale, car la direction du déplacement de l'air froid près de la surface peut varier très fortement d'une station à l'autre. L'air froid superficiel peut ainsi être maintenu dans le bas des coteaux viticoles ou évacué dans les secteurs hors vignoble. Dans ces conditions, des écarts de 2 à 4 °C, entre deux coteaux voisins, sont courants et difficiles à prévoir ; ils peuvent être à l'origine de dégâts importants et très localisés.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47040,,2107-0830,,,,http://hdl.handle.net/2042/47040,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 30-43",,,,,,agrométéorologie||vigne||gel||réseau climatologique||température minimale||petite échelle||inversion de température||vent de pente||vent régional||interaction||topoclimatologie||refroidissement nocturne||advection||refroidissement par rayonnement||simulation numérique||prévision||Marne - Dép.,Spring frosts in the Champagne wine-growing region: results from a new network of automatic recording stations,,,Les gelées printanières en champagne viticole : quelques résultats obtenus à partir d'un nouveau réseau de stations automatiques,,,,,Article,,
43090,2042/46966,La Météorologie,,"Programme de recherche, d'information et de formation sur les acridiens (Prifas), Centre de coopération internationale en recherche agronomique pour le développement (Cirad), Agropolis - Parc scientifique 2, B.P. 5035, 34032 Montpellier, FRA",,"Launois, Michel||Launois-Luong, My hanh",,,,,,,1998,,,,"Locusts and grasshoppers are weather-dependent creatures. Atmospheric conditions influence directly and indirectly fertility (number of eggs per female, incubation speed, survival rate of hatchlings), mortality (natural mortality, predation and depredation attacks, parasites, pathogens), and dispersion (ability come and go, easy long distance transport, main displacement direction). Most of the important population variations are under control of meteorological factors. This explains the important development of ""acridometeorology"", a branch of meteorology adapted to locusts and grasshoppers. It is used for the elaboration of descriptive and forecasting models specific for the main pests such as the migratory locust in Madagascar and in Africa, the Senegalese grasshopper in the Sahel and the desert locust within its whole range of some thirty million square kilometers.",,"Les criquets sont des organismes « météo-dépendants » : les conditions atmosphériques agissent directement et indirectement sur leur natalité (nombre d'oeufs par femelle, vitesse d'incubation, taux de survie à l'éclosion), leur mortalité (mortalité naturelle, attaque des prédateurs, déprédateurs, parasites, agents pathogènes) et leur dispersion (aptitude aux départs, aux arrivées, facilités de transport à longue distance, direction générale du déplacement). La plupart des plus importantes variations d'effectifs sont sous effets météorologiques. Cette constatation explique le développement important de l'acridométéorologie, branche de la météorologie appliquée aux acridiens, en particulier dans l'élaboration de modèles descriptifs et prévisionnels spécifiques aux principaux criquets ravageurs, comme le Criquet migrateur à Madagascar et en Afrique, le Criquet sénégalais au Sahel et le Criquet pèlerin sur l'ensemble de son aire d'habitat qui couvre quelque trente millions de kilomètres carrés.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47041,,2107-0830,,,,http://hdl.handle.net/2042/47041,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 44-54",,,,,,incidence sur l'animal||conditions atmosphériques||agrométéorologie||température de l'air||sécheresse||ZCIT||adaptation à l'espace - animaux||reproduction - animaux||type de temps||simulation numérique,From weather-dependent locusts and grasshoppers to acridometeorology,,,Du criquet « météo-dépendant » à l'acridométéorologie,,,,,Article,,
43091,2042/46966,La Météorologie,,,,"Bohren, Craig F.",,,,,,,1998,,,,"With simple experiments and observations of what happens in the atmosphere, Craig F. Bohren defines atmospheric visibility and corrects a few misconceptions.",,"À partir d'expériences simples et d'observations de ce qui se passe dans l'atmosphère, Craig F. Bohren définit la visibilité atmosphérique et corrige quelques idées fausses.",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47042,,2107-0830,,,,http://hdl.handle.net/2042/47042,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 55-59",,,,,,visibilité||ciel clair||diffusion - optique||diffusion moléculaire||particule élémentaire,"On a clear day, you can't see forever",,,"Même par temps clair, la visibilité est limitée",,,,,Article,,
43092,2042/46966,La Météorologie,,,,"Renaut, Didier",,,,,,,1998,,,,"For the first time in France, a large symposium brought together all those concerned with communicating meteorology and with its place in education. Review conferences and more specialized presentations were given, and recommendations emerged from small groups of specialists. If these recommendations are to be followed, they must first be put to the French Ministry of Education and to Météo-France. Time will tell how they are effective.",,"Pour la première fois en France, un colloque de grande ampleur a réuni tous ceux qui se préoccupent de la transmission des connaissances en météorologie et de la place de cette discipline dans la formation des jeunes. À la suite de conférences de synthèse et de présentations d'expériences diverses, des réflexions menées en petits groupes ont abouti à des recommandations visant à développer ce domaine d'activités. Si ces recommandations impliquent que chacun s'engage dans cette voie, elles s'adressent en premier lieu au ministère de l'Éducation nationale et à Météo-France. L'avenir nous dira quels en seront les effets. The symposium on meteorology and knowledge; Arc-et-Senans, France, 15-17 October 1997",,,,,,,,,,,,,,,,https://doi.org/10.4267/2042/47043,,2107-0830,,,,http://hdl.handle.net/2042/47043,,,,fr,,,,,"Société météorologique de France, Paris (FRA)",,,,,,,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,"La Météorologie [ISSN 0026-1181], 1998, Série 8, N° 21 ; p. 60-79",,,,,,météorologie||connaissance||chaleur||énergie atmosphérique||vitesse du vent||température de l'air||précipitations||orage||nuage,"The symposium on meteorology and knowledge; Arc-et-Senans, France, 15-17 October 1997",,,"Le colloque « météorologie et savoir » Arc-et-Senans, France, 15-17 octobre 1997",,,,,Article,,
