id,collection,dc.contributor.advisor,dc.contributor.advisor[],dc.contributor.affiliation[-],dc.contributor.author,dc.contributor.author[-],dc.contributor.author[],dc.contributor.author[fr],dc.contributor.author[none],dc.date.issued,dc.date.issued[-],dc.date.issued[],dc.date.issued[en_US],dc.date.issued[fr],dc.date.issued[fr_FR],dc.date.issued[none],dc.description.abstract[en],dc.description.abstract[en_US],dc.description.abstract[fr],dc.description.abstract[fr_FR],dc.description[-],dc.description[en],dc.description[en_US],dc.description[fr],dc.description[fr_FR],dc.format.extent,dc.format.extent[],dc.format.mimetype,dc.format.mimetype[],dc.identifier.citation[-],dc.identifier.citation[],dc.identifier.citation[en],dc.identifier.citation[fr],dc.identifier.citation[none],dc.identifier.doi,dc.identifier.doi[],dc.identifier.issn,dc.identifier.issn[-],dc.identifier.issn[],dc.identifier.uri,dc.identifier.uri[],dc.language.iso[-],dc.language.iso[],dc.language.iso[en],dc.language.iso[en_US],dc.language.iso[fr],dc.language.iso[fr_FR],dc.publisher[],dc.publisher[en],dc.publisher[en_US],dc.publisher[fr],dc.publisher[fr_FR],dc.relation.ispartof[-],dc.relation.ispartof[],dc.relation.ispartof[en],dc.relation.ispartof[en_US],dc.relation.ispartof[fr],dc.relation.ispartofseries,dc.relation.ispartofseries[-],dc.relation.ispartofseries[],dc.rights,dc.rights[-],dc.rights[],dc.source,dc.source[-],dc.source[],dc.source[en_US],dc.source[fr],dc.source[fr_FR],dc.source[none],dc.subject.other[fr],dc.subject[],dc.subject[en],dc.subject[fr],dc.title.alternative[en],dc.title[en],dc.title[en_US],dc.title[fr],dc.title[fr_FR],dc.type[-],dc.type[],dc.type[en],dc.type[en_US],dc.type[fr],dc.type[fr_FR]
49001,2042/53317,La Météorologie,,,,,,,"Tchimbidima, Mathias||Diarra, M'Pié",,,,,,,1993,,,,,,,,,,,,,,,,,,"Tchimbidima, Mathias ; Diarra, M'Pié ; L'EAMAC fête son 30ème anniversaire : Une école africaine
pour les besoins des Etats africains
Mathias Tchimbidima et M'Pié Diarra, La Météorologie, 1993, N° 1 ; p. 91-94",https://doi.org/10.4267/2042/53336,,2107-0830,,,http://hdl.handle.net/2042/53336,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Dossier,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 91-94",,,,météorologie||Afrique||organisation météorologique||instrument||observation météorologique||prévision,,,,"L'EAMAC fête son 30ème anniversaire : Une école africaine 
pour les besoins des Etats africains
Mathias Tchimbidima et M'Pié Diarra",,,,,Article,,
49002,2042/53317,La Météorologie,,,,,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,"Colloque «Histoire de la Météorologie»
(Annonce n° 1), La Météorologie, 1993, N° 1 ; p. 95",https://doi.org/10.4267/2042/53337,,2107-0830,,,http://hdl.handle.net/2042/53337,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Annonces,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 95",,,,histoire de la météorologie,,,,"Colloque «Histoire de la Météorologie»
(Annonce n° 1)",,,,,,,
49003,2042/53317,La Météorologie,,,,,,,,,,,,,,1993,,,,,,,,,,,,,,,,,,"Echos, La Météorologie, 1993, N° 1 ; p. 96-97",https://doi.org/10.4267/2042/53338,,2107-0830,,,http://hdl.handle.net/2042/53338,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Echos,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 96-97",,,,climat||couche d'ozone||données météorologiques||Europe,,,,Echos,,,,,,,
49004,2042/53317,La Météorologie,,,,,,,"Moor, Gérard de",,,,,,,1993,,,,,,,,,,,,,,,,,,"Moor, Gérard de ; An introduction to the Coriolis force , La Météorologie, 1993, N° 1 ; p. 98-99",https://doi.org/10.4267/2042/53339,,2107-0830,,,http://hdl.handle.net/2042/53339,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Lu pour vous,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 98-99",,,,mécanique||force de Coriolis||rotation terrestre||exercice||rotation uniforme,,,,An introduction to the Coriolis force  - Par H. M. Stommel et D.W. Moore,,,,,,,
49005,2042/53317,La Météorologie,,,,,,,"Renaut, Didier",,,,,,,1993,,,,,,,,,,,,,,,,,,"Renaut, Didier ; L'évolution du climat et de l'environnement global ; la contibution française en 1991 , La Météorologie, 1993, N° 1 ; p. 100-103",https://doi.org/10.4267/2042/53340,,2107-0830,,,http://hdl.handle.net/2042/53340,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Lu pour vous,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 100-103",,,,climat||environnement,,,,L'évolution du climat et de l'environnement global ; la contibution française en 1991  - Par Ministère de la Recherche et de la Technologie,,,,,,,
49006,2042/53317,La Météorologie,,,,,,,"Javelle, Jean-Pierre",,,,,,,1993,,,,,,,,,,,,,,,,,,"Javelle, Jean-Pierre ; Vient de paraître, La Météorologie, 1993, N° 1 ; p. 104-105",https://doi.org/10.4267/2042/53341,,2107-0830,,,,http://hdl.handle.net/2042/53341,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Vient de paraître,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 104-105",,,,atlas||météorologie||vulgarisation scientifique||assimilation des données||assimilation quadri-dimensionnelle,,,,Vient de paraître,,,,,,,
49007,2042/53317,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1993,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; septembre 1992 : Les cyclones extratropicaux Bonnie et Charley, La Météorologie, 1993, N° 1 ; p. 106",https://doi.org/10.4267/2042/53342,,2107-0830,,,http://hdl.handle.net/2042/53342,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 106",,,,cyclone extra-tropical,,,,Septembre 1992 : Les cyclones extratropicaux Bonnie et Charley,,,,,,,
49008,2042/53317,La Météorologie,,,,,,,"Bougary, André||S3C/SCO/MDS",,,,,,,1993,,,,,,,,,,,,,,,,,,"Bougary, André ; septembre 1992, La Météorologie, 1993, N° 1 ; p. 107-114",https://doi.org/10.4267/2042/53343,,2107-0830,,,,http://hdl.handle.net/2042/53343,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Résumé climatique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 107-114",,,,climatologie d'un lieu||température de l'air||France||orage||précipitations excessives||dégâts dus aux inondations||D.P.A France Sud-Est||anomalie positive||anomalie négative,,,,Septembre 1992,,,,,,,
49009,2042/53317,La Météorologie,,,,,,,"Donguy, Patrick",,,,,,,1993,,,,,,,,,,,,,,,,,,"Donguy, Patrick ; octobre 1992 : La première tempête de l'automne, La Météorologie, 1993, N° 1 ; p. 115",https://doi.org/10.4267/2042/53344,,2107-0830,,,,http://hdl.handle.net/2042/53344,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Les photos du mois,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 115",,,,cirrostratus||altocumulus||jet||Atlantique nord-est||tempête||rafale,,,,Octobre 1992 : La première tempête de l'automne,,,,,,,
49010,2042/53317,La Météorologie,,,,,,,"Bourgary, André||S3C/SC0/MDS",,,,,,,1993,,,,,,,,,,,,,,,,,,"Bourgary, André ; octobre 1992, La Météorologie, 1993, N° 1 ; p. 116-123",https://doi.org/10.4267/2042/53345,,2107-0830,,,http://hdl.handle.net/2042/53345,,,,,fr,,,,,,"Société météorologique de France, Paris (FRA)",,,,,Rubrique : Résumé climatique,,La Météorologie,,,Accès libre avec barrière mobile 2 ans - Licence d'utilisation : http://irevues.inist.fr/utilisation,,,,,,,,,"La Météorologie [ISSN 0026-1181], 1993, Série 8, N° 1 ; p. 116-123",,,,climatologie d'un lieu||précipitations excessives||crue||France,,,,Octobre 1992,,,,,,,
