MF_CATEGORIE;DOC_TITRE;DOC_PER_NUMERO;DOC_AN_EDIT;FT_CID;FT_SFNAME;;URL directe du fichier
Met Mar;Met Mar n°106- 1er trimestre 1980;106;1980;237248;doc00027090__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237248/doc00027090__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237248/doc00027090__PDF.txt
Met Mar;Met Mar n°107- 2ème trimestre 1980;107;1980;237247;doc00027089__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237247/doc00027089__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237247/doc00027089__PDF.txt
Met Mar;Met Mar n°108- 3ème trimestre 1980;108;1980;237246;doc00027088__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237246/doc00027088__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237246/doc00027088__PDF.txt
Met Mar;Met Mar n°109- 4ème trimestre 1980;109;1980;237245;doc00027087__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237245/doc00027087__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237245/doc00027087__PDF.txt
Met Mar;Met Mar n°110 - 1er trimestre 1981;110;1981;237244;doc00027086__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237244/doc00027086__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237244/doc00027086__PDF.txt
Met Mar;Met Mar n°111- 2ème trimestre 1981;111;1981;237222;doc00027059__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237222/doc00027059__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237222/doc00027059__PDF.txt
Met Mar;Met Mar n°112- 3ème trimestre 1981;112;1981;237221;doc00027058__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237221/doc00027058__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237221/doc00027058__PDF.txt
Met Mar;Met Mar n°113- 4ème trimestre 1981;113;1981;237220;doc00027057__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237220/doc00027057__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237220/doc00027057__PDF.txt
Met Mar;Met Mar n°114- 1er trimestre 1982;114;1982;237216;doc00027051__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237216/doc00027051__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237216/doc00027051__PDF.txt
Met Mar;Met Mar n°115- 2ème trimestre 1982;115;1982;237215;doc00027050__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237215/doc00027050__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237215/doc00027050__PDF.txt
Met Mar;Met Mar n°116- 3ème trimestre 1982;116;1982;237214;doc00027049__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237214/doc00027049__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237214/doc00027049__PDF.txt
Met Mar;Met Mar n°117- 4ème trimestre 1982;117;1982;237213;doc00027048__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237213/doc00027048__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237213/doc00027048__PDF.txt
Met Mar;Met Mar n°118- 1er trimestre 1983;118;1983;237212;doc00027047__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237212/doc00027047__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237212/doc00027047__PDF.txt
Met Mar;Met Mar n°119- 2ème trimestre 1983;119;1983;237209;doc00027044__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237209/doc00027044__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237209/doc00027044__PDF.txt
Met Mar;Met Mar n°120 - 3ème trimestre 1983;120;1983;237208;doc00027043__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237208/doc00027043__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237208/doc00027043__PDF.txt
Met Mar;Met Mar n°121- 4ème trimestre 1983;121;1983;237207;doc00027042__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237207/doc00027042__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237207/doc00027042__PDF.txt
Met Mar;Met Mar n°122- 1er trimestre 1984;122;1984;237206;doc00027041__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237206/doc00027041__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237206/doc00027041__PDF.txt
Met Mar;Met Mar n°123- 2ème trimestre 1984;123;1984;237205;doc00027040__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237205/doc00027040__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237205/doc00027040__PDF.txt
Met Mar;Met Mar n°124 - 3ème trimestre 1984;124;1985;237203;doc00027038__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237203/doc00027038__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237203/doc00027038__PDF.txt
Met Mar;Met Mar n°125 - 4ème trimestre 1984;125;1984;237202;doc00027037__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237202/doc00027037__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237202/doc00027037__PDF.txt
Met Mar;Met Mar n°126 - 1er trimestre 1985;126;1985;237201;doc00027036__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237201/doc00027036__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237201/doc00027036__PDF.txt
Met Mar;Met Mar n°127 - 2ème trimestre 1985;127;1985;237176;doc00027001__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237176/doc00027001__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237176/doc00027001__PDF.txt
Met Mar;Met Mar n°128 - 3ème trimestre 1985;128;1985;237167;doc00026988__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237167/doc00026988__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237167/doc00026988__PDF.txt
Met Mar;Met Mar n°129 - 4ème trimestre 1985;129;1985;237159;doc00026979__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237159/doc00026979__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237159/doc00026979__PDF.txt
Met Mar;Met Mar n°130 - 1er trimestre 1986;130;1986;237158;doc00026978__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237158/doc00026978__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237158/doc00026978__PDF.txt
Met Mar;Met Mar n°131 - 2ème trimestre 1986;131;1986;237157;doc00026977__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237157/doc00026977__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237157/doc00026977__PDF.txt
Met Mar;Met Mar n°132 - 3ème trimestre 1986;132;1986;237156;doc00026976__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237156/doc00026976__PDF.txt;http://bibliotheque.meteo.fr/exl-php/docs/ILS_DOC/237156/doc00026976__PDF.txt
